show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genre,description,year_added,month_added
s1,Movie,Sample Title 1,M. Lee,"Actor A, Actor B",United States,2021-01-31,2000,TV-PG,101 min,Sci-Fi,Sample description for title 1.,2021,January
s2,Movie,Sample Title 2,A. Kumar,"Actor A, Actor B",Canada,2022-09-25,2018,PG-13,74 min,Sci-Fi,Sample description for title 2.,2022,September
s3,Movie,Sample Title 3,K. Tanaka,"Actor A, Actor B",Germany,2020-03-25,2017,TV-14,161 min,Documentary,Sample description for title 3.,2020,March
s4,Movie,Sample Title 4,K. Tanaka,"Actor C, Actor D",Japan,2019-10-16,2024,PG-13,159 min,Romantic,Sample description for title 4.,2019,October
s5,TV Show,Sample Title 5,S. Rao,"Actor C, Actor D",South Korea,2019-01-15,2003,TV-14,7 Seasons,Documentary,Sample description for title 5.,2019,January
s6,Movie,Sample Title 6,S. Rao,"Actor C, Actor D",United States,2023-02-25,2023,TV-14,138 min,Documentary,Sample description for title 6.,2023,February
s7,TV Show,Sample Title 7,A. Kumar,"Actor E, Actor F",Canada,2020-02-27,2018,G,2 Seasons,Documentary,Sample description for title 7.,2020,February
s8,Movie,Sample Title 8,P. Brown,"Actor C, Actor D",South Korea,2019-02-18,2007,PG-13,118 min,Thriller,Sample description for title 8.,2019,February
s9,TV Show,Sample Title 9,J. Smith,"Actor E, Actor F",Canada,2020-12-29,2006,PG-13,2 Seasons,Kids,Sample description for title 9.,2020,December
s10,TV Show,Sample Title 10,R. Patel,"Actor A, Actor B",Canada,2024-03-31,2008,G,4 Seasons,Drama,Sample description for title 10.,2024,March
s11,TV Show,Sample Title 11,M. Lee,"Actor E, Actor F",South Korea,2021-01-01,2012,PG-13,2 Seasons,Kids,Sample description for title 11.,2021,January
s12,TV Show,Sample Title 12,P. Brown,"Actor A, Actor B",Canada,2023-02-23,2020,TV-PG,3 Seasons,Sci-Fi,Sample description for title 12.,2023,February
s13,TV Show,Sample Title 13,K. Tanaka,"Actor C, Actor D",Canada,2024-07-22,2023,PG-13,7 Seasons,Sci-Fi,Sample description for title 13.,2024,July
s14,TV Show,Sample Title 14,J. Smith,"Actor E, Actor F",United Kingdom,2018-07-12,2002,G,2 Seasons,Horror,Sample description for title 14.,2018,July
s15,Movie,Sample Title 15,L. Martin,"Actor E, Actor F",Japan,2022-04-13,2012,TV-14,146 min,Drama,Sample description for title 15.,2022,April
s16,Movie,Sample Title 16,P. Brown,"Actor E, Actor F",South Korea,2024-01-09,2021,TV-MA,166 min,Documentary,Sample description for title 16.,2024,January
s17,TV Show,Sample Title 17,P. Brown,"Actor E, Actor F",United Kingdom,2023-02-02,2005,TV-14,1 Seasons,Comedy,Sample description for title 17.,2023,February
s18,TV Show,Sample Title 18,J. Smith,"Actor C, Actor D",United Kingdom,2023-09-11,2020,TV-14,4 Seasons,Sci-Fi,Sample description for title 18.,2023,September
