Show_ID,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Genre,Description
s1,Movie,Sample Title 1,M. Lee,"Actor A, Actor B",United States,"January 31, 2021",2000,TV-PG,101 min,Sci-Fi,Sample description for title 1.
s2,Movie,Sample Title 2,A. Kumar,"Actor A, Actor B",Canada,"September 25, 2022",2018,PG-13,74 min,Sci-Fi,Sample description for title 2.
s3,Movie,Sample Title 3,K. Tanaka,"Actor A, Actor B",Germany,"March 25, 2020",2017,TV-14,161 min,Documentary,Sample description for title 3.
s4,Movie,Sample Title 4,K. Tanaka,"Actor C, Actor D",Japan,"October 16, 2019",2024,PG-13,159 min,Romantic,Sample description for title 4.
s5,TV Show,Sample Title 5,S. Rao,"Actor C, Actor D",South Korea,"January 15, 2019",2003,TV-14,7 Seasons,Documentary,Sample description for title 5.
s6,Movie,Sample Title 6,S. Rao,"Actor C, Actor D",United States,"February 25, 2023",2023,TV-14,138 min,Documentary,Sample description for title 6.
s7,TV Show,Sample Title 7,A. Kumar,"Actor E, Actor F",Canada,"February 27, 2020",2018,G,2 Seasons,Documentary,Sample description for title 7.
s8,Movie,Sample Title 8,P. Brown,"Actor C, Actor D",South Korea,"February 18, 2019",2007,PG-13,118 min,Thriller,Sample description for title 8.
s9,TV Show,Sample Title 9,J. Smith,"Actor E, Actor F",Canada,"December 29, 2020",2006,PG-13,2 Seasons,Kids,Sample description for title 9.
s10,TV Show,Sample Title 10,R. Patel,"Actor A, Actor B",Canada,"March 31, 2024",2008,G,4 Seasons,Drama,Sample description for title 10.
s11,TV Show,Sample Title 11,M. Lee,"Actor E, Actor F",South Korea,"January 01, 2021",2012,PG-13,2 Seasons,Kids,Sample description for title 11.
s12,TV Show,Sample Title 12,P. Brown,"Actor A, Actor B",Canada,"February 23, 2023",2020,TV-PG,3 Seasons,Sci-Fi,Sample description for title 12.
s13,TV Show,Sample Title 13,K. Tanaka,"Actor C, Actor D",Canada,"July 22, 2024",2023,PG-13,7 Seasons,Sci-Fi,Sample description for title 13.
s14,TV Show,Sample Title 14,J. Smith,"Actor E, Actor F",United Kingdom,"July 12, 2018",2002,G,2 Seasons,Horror,Sample description for title 14.
s15,Movie,Sample Title 15,L. Martin,"Actor E, Actor F",Japan,"April 13, 2022",2012,TV-14,146 min,Drama,Sample description for title 15.
s16,Movie,Sample Title 16,P. Brown,"Actor E, Actor F",South Korea,"January 09, 2024",2021,TV-MA,166 min,Documentary,Sample description for title 16.
s17,TV Show,Sample Title 17,P. Brown,"Actor E, Actor F",United Kingdom,"February 02, 2023",2005,TV-14,1 Seasons,Comedy,Sample description for title 17.
s18,TV Show,Sample Title 18,J. Smith,"Actor C, Actor D",United Kingdom,"September 11, 2023",2020,TV-14,4 Seasons,Sci-Fi,Sample description for title 18.
s19,Movie,Sample Title 19,A. Kumar,"Actor A, Actor B",South Korea,"August 20, 2021",2019,G,132 min,Documentary,Sample description for title 19.
s20,Movie,Sample Title 20,S. Rao,"Actor A, Actor B",Germany,"September 13, 2020",2001,G,142 min,Comedy,Sample description for title 20.
s21,Movie,Sample Title 21,J. Smith,"Actor C, Actor D",Australia,"May 01, 2023",2004,G,140 min,Crime,Sample description for title 21.
s22,TV Show,Sample Title 22,P. Brown,"Actor C, Actor D",South Korea,"January 18, 2024",2006,R,4 Seasons,Sci-Fi,Sample description for title 22.
s23,TV Show,Sample Title 23,S. Rao,"Actor C, Actor D",India,"October 12, 2020",2003,TV-14,4 Seasons,Sci-Fi,Sample description for title 23.
s24,Movie,Sample Title 24,S. Rao,"Actor E, Actor F",India,"June 21, 2020",2018,PG-13,70 min,Comedy,Sample description for title 24.
s25,Movie,Sample Title 25,M. Lee,"Actor C, Actor D",Germany,"October 18, 2018",2010,PG-13,135 min,Sci-Fi,Sample description for title 25.
s26,Movie,Sample Title 26,L. Martin,"Actor A, Actor B",Germany,"May 27, 2024",2023,G,143 min,Horror,Sample description for title 26.
s27,Movie,Sample Title 27,K. Tanaka,"Actor C, Actor D",France,"February 02, 2019",2003,R,154 min,Kids,Sample description for title 27.
s28,Movie,Sample Title 28,K. Tanaka,"Actor E, Actor F",South Korea,"February 08, 2019",2021,G,77 min,Comedy,Sample description for title 28.
s29,Movie,Sample Title 29,L. Martin,"Actor A, Actor B",France,"February 19, 2020",2006,PG-13,138 min,Documentary,Sample description for title 29.
s30,TV Show,Sample Title 30,S. Rao,"Actor A, Actor B",Australia,"November 05, 2018",2007,G,8 Seasons,Drama,Sample description for title 30.
s31,Movie,Sample Title 31,K. Tanaka,"Actor C, Actor D",Germany,"August 26, 2020",2024,PG-13,91 min,Horror,Sample description for title 31.
s32,Movie,Sample Title 32,K. Tanaka,"Actor C, Actor D",Germany,"April 02, 2022",2005,PG,70 min,Horror,Sample description for title 32.
s33,TV Show,Sample Title 33,M. Lee,"Actor A, Actor B",Spain,"February 17, 2020",2004,TV-PG,5 Seasons,Sci-Fi,Sample description for title 33.
s34,Movie,Sample Title 34,A. Kumar,"Actor E, Actor F",Germany,"July 08, 2021",2023,TV-14,77 min,Sci-Fi,Sample description for title 34.
s35,Movie,Sample Title 35,J. Smith,"Actor A, Actor B",Spain,"September 12, 2023",2001,TV-MA,80 min,Romantic,Sample description for title 35.
s36,TV Show,Sample Title 36,A. Kumar,"Actor E, Actor F",United States,"May 22, 2024",2003,R,4 Seasons,Crime,Sample description for title 36.
s37,TV Show,Sample Title 37,M. Lee,"Actor C, Actor D",France,"April 16, 2020",2008,PG-13,6 Seasons,Documentary,Sample description for title 37.
s38,TV Show,Sample Title 38,L. Martin,"Actor E, Actor F",Spain,"October 25, 2018",2010,TV-MA,1 Seasons,Comedy,Sample description for title 38.
